Company Name,Description,URL,Email,Website,Twitter
AVSI Brasil Organizations,AVSI Brasil is a Brazilian nonprofit organization contributing to the improvement of living conditions of people living.,https://platform.dkv.global/mind-map/firms/138998,ascom@avsi.org.br,https://www.avsibrasil.org.br/,https://twitter.com/AVSIBrasil
AWO pro Organizations,,https://platform.dkv.global/mind-map/firms/149078,info@awo-promensch.de,https://www.awo-promensch.de/,
Ayuda en Accion Organizations,"Ayuda en Accion is a nonprofit organization that strives to improve the living conditions of children, families, and communities.",https://platform.dkv.global/mind-map/firms/163802,informacion@ayudaenaccion.org,https://ayudaenaccion.org/,https://twitter.com/ayudaenaccion
Azulis Capital Company,,https://platform.dkv.global/mind-map/firms/141285,contact@azuliscapital.fr,http://www.azuliscapital.fr/,
B Lab Company,"B Lab is a NPO that serves as a global community using business as a force for good by creating standards, policies, and tools for business.",https://platform.dkv.global/mind-map/firms/170601,support@bcorporation.net.,https://bcorporation.net/,
B&CE Company,,https://platform.dkv.global/mind-map/firms/58895,info@bandce.co.uk,https://bandce.co.uk/,
B1G1 Company,,https://platform.dkv.global/mind-map/firms/145840,hello@b1g1.com,https://www.b1g1.com/,
Backup 01 Organizations,,https://platform.dkv.global/mind-map/firms/173482,,https://www.sauvegarde01.fr/,
Baha'i International Community Company,"Baha'i International Community is a non-profit organization working on equality, human rights, and developing communities.",https://platform.dkv.global/mind-map/firms/171712,uno-nyc@bic.org,https://www.bic.org/,
Band of Brothers Ministry Company,Band of Brothers (the men's ministry of Foundation of the Heart). We believe the Kingdom of God is advancing and that our King.,https://platform.dkv.global/mind-map/firms/169690,service@bandofbrothers.org,http://www.bandofbrothers.org/,
Baptcare Organizations,"Baptcare is a non-profit organization that offers aged care, retirement, affordable housing, healthcare, and various community services.",https://platform.dkv.global/mind-map/firms/149196,info@baptcare.org.au,https://www.baptcare.org.au/,https://twitter.com/Baptcare
Barbados Youth Development Council Company,"BYDC are dynamic youth-led organization which advocates for, addresses the needs of and facilitates the development of all young people.",https://platform.dkv.global/mind-map/firms/139776,bydcexecutive@gmail.com,https://www.bydc246.com/,
BASIX Company,,https://platform.dkv.global/mind-map/firms/173635,,http://www.basixindia.com/,
BASScare Organizations,,https://platform.dkv.global/mind-map/firms/138125,administration@basscare.org.au,https://www.basscare.org.au/,
BDIU Organizations,,https://platform.dkv.global/mind-map/firms/139322,bdiu@inkasso.de,https://eos-did.com/,https://twitter.com/BDIU_inkasso_de
BenefAction Foundation Companies,,https://platform.dkv.global/mind-map/firms/149406,info@benefaction.ca,https://www.benefaction.ca/,
Beog Neere Company,"Beog Neere is a nonprofit organization that helps to strengthen good governance, democracy, human rights, and the peace of the community.",https://platform.dkv.global/mind-map/firms/141303,contact@beog-neere.org,https://beog-neere.org/,
Berghof Foundation Organizations,,https://platform.dkv.global/mind-map/firms/149433,info@berghof-foundation.org,http://www.berghof-foundation.org/,https://twitter.com/BerghofFnd
Big Issue Invest Donors,Big Issue Invest is a specialised provider of finance to social enterprises or trading arms of charities that are finding business.,https://platform.dkv.global/mind-map/firms/144177,enquiries@bigissueinvest.com,http://www.bigissueinvest.com/,
BILD Calgary Region Organizations,,https://platform.dkv.global/mind-map/firms/149579,info@bildcr.com,https://bildcr.com/,https://twitter.com/BILDCR
BIO Ventures for Global Health Company,,https://platform.dkv.global/mind-map/firms/150024,info@bvgh.org,http://www.bvgh.org/,
BioHouston Organizations,"BioHouston, Inc. is a non-profit corporation providing activities in making the Houston region a world-class competitor in the life science.",https://platform.dkv.global/mind-map/firms/172271,will@enventure.org,http://biohouston.org/,https://www.twitter.com/biohouston
Birmingham LGBT Company,"Birmingham LGBT is a non-profit organization that aims to raise awareness of the needs of lesbian, gay, bisexual, and trans (LGBT) people.",https://platform.dkv.global/mind-map/firms/145870,hello@blgbt.org,https://blgbt.org/,
Bloomers Company,Bloomers is a sketch and musical comedy company that provides a panel for people with gender identities that are underrepresented in comedy.,https://platform.dkv.global/mind-map/firms/141318,contact@bloomers.fr,https://www.bloomerscomedy.org/,
BlueBox Ventures Company,,https://platform.dkv.global/mind-map/firms/134077,monica.campos@blueboxmx.com,http://www.blueboxmx.com/,https://www.twitter.com/blueboxmx
Bluseeds - Dignity and Hope Company,"Bluseeds' mission is to run a low-cost, accessible kick-start investment program for individuals in or at risk of severe financial need.",https://platform.dkv.global/mind-map/firms/174986,,https://bluseeds.com/,
Bo-Vest Company,,https://platform.dkv.global/mind-map/firms/139578,bo-vest@bo-vest.dk,https://www.bo-vest.dk/,
Bop Organizations,"Bop is a nonprofit organization that offers helps organizations deliver inclusive, commercially viable business solutions.",https://platform.dkv.global/mind-map/firms/106190,info@bopinc.org,https://bopinc.org/,https://twitter.com/BoPInc
Brave New Films Company,,https://platform.dkv.global/mind-map/firms/170139,socialmedia@bravenewfilms.org,http://www.bravenewfilms.org/,
Bravo Family Foundation Company,,https://platform.dkv.global/mind-map/firms/149834,info@bravofamilyfoundation.org,https://bravofamilyfoundation.org/,
Brisbane Economic Development Agency Organizations,"Brisbane Economic Development Agency is a multicultural city, with an innovation-led economy and an enviable outdoor lifestyle.",https://platform.dkv.global/mind-map/firms/140700,communications@brisbane-eda.com.au,https://www.choosebrisbane.com.au/,https://twitter.com/brisbane_eda
British Army Company,,https://platform.dkv.global/mind-map/firms/175080,,https://www.army.mod.uk/,
British Columbia Automobile Association Organizations,BCAA is a mission-driven services organization committed to delivering peace of mind to our Members and customers across B.C. and the Yukon.,https://platform.dkv.global/mind-map/firms/149272,info@bcaa.com,http://www.bcaa.com/,https://www.twitter.com/bcaa
Brothers of Charity Company,"Brothers of Charity provides primary and secondary education along with the elderly, addiction care, health care, and childcare services.",https://platform.dkv.global/mind-map/firms/106222,info@broedersvanliefde.be,https://broedersvanliefde.be/,
Business Fights Poverty Company,,https://platform.dkv.global/mind-map/firms/171180,team@businessfightspoverty.org,https://businessfightspoverty.org/,
Business for Development Organizations,"Business for Development focuses on sustainable development and enhanced outcomes for the community, government, and economies.",https://platform.dkv.global/mind-map/firms/142400,contactus@businessfordevelopment.org,https://businessfordevelopment.org/,https://twitter.com/b4md
Calcutta Rescue Organizations,,https://platform.dkv.global/mind-map/firms/106239,info@calcuttarescue.org,https://calcuttarescue.org/,https://twitter.com/calcuttarescue
Calgary Social Value Fund Organizations,Calgary Social Value Fund is a student-led investment fund that supports local Calgary-based social purpose organizations.,https://platform.dkv.global/mind-map/firms/147183,info.calgary@nsvf.ca,https://nsvf.ca/locations/calgary/,
California Policy Lab Company,,https://platform.dkv.global/mind-map/firms/171671,ucla@capolicylab.org,https://www.capolicylab.org/,
California State Auditor Company,,https://platform.dkv.global/mind-map/firms/168784,recruiter@auditor.ca.gov,http://www.auditor.ca.gov/,
California Technology Council Company,CTC is is an industry development membership organization serving innovators from all sectors in the state of California.,https://platform.dkv.global/mind-map/firms/164671,join@californiatechnology.org,http://californiatechnology.org/,
CAMBA Company,"CAMBA is an NGO that renders education, youth development, legal, health counseling, family and community support services.",https://platform.dkv.global/mind-map/firms/170140,socialmedia@camba.org,https://camba.org/,
Can:Do Company,,https://platform.dkv.global/mind-map/firms/106247,,https://www.candogroup.com.au/,
Canadian Association of Defence and Security Industries Organizations,Canadian Association of Defence and Security Industries is an association representing companies selling to the defence and security market.,https://platform.dkv.global/mind-map/firms/139795,cadsi@defenceandsecurity.ca,https://www.defenceandsecurity.ca/,https://www.twitter.com/cadsicanada
Canadian Board Diversity Council Organizations,CBDC is the leading Canadian organization advancing diversity on Canada's boards in order to help drive increased shareholder value.,https://platform.dkv.global/mind-map/firms/169169,rsvp@boarddiversity.ca,http://www.boarddiversity.ca/,https://www.twitter.com/diverseboards
Canadian Centre for Gender and Sexual Diversity Organizations,"Canadian Centre for Gender and Sexual Diversity is a nonprofit organization that offers educational, health, and advisory services.",https://platform.dkv.global/mind-map/firms/170631,support@ccgsd-ccdgs.org,https://ccgsd-ccdgs.org/,https://twitter.com/ccgsd_ccdgs
Canadian Centre for Victims of Torture Organizations,"Canadian Centre for Victims of Torture provides tools and support that allow refugees to heal from the trauma of torture, war, and crimes.",https://platform.dkv.global/mind-map/firms/165630,mabai@ccvt.org,https://ccvt.org/,https://twitter.com/ccvt_toronto
Canadian Executive Services Organization Organizations,,https://platform.dkv.global/mind-map/firms/151563,info@ceso-saco.com,https://www.ceso-saco.com/,https://twitter.com/cesosaco
Canadian Foundation for Economic Education Organizations,,https://platform.dkv.global/mind-map/firms/165702,mail@cfee.org,http://www.cfee.org/,https://twitter.com/_CFEE
Canadian Imperial Advantage Organizations,,https://platform.dkv.global/mind-map/firms/155078,info@imperialadvantage.ca,https://imperialadvantage.ca/,https://twitter.com/CIAdvantage
Canadian Labour Congress Organizations,,https://platform.dkv.global/mind-map/firms/139177,atlantic@clc-ctc.ca,http://canadianlabour.ca/,https://twitter.com/canadianlabour
Candowell Company,Candowell is a social network that generates social transformation power & created to support independent projects and the work of NGOs.,https://platform.dkv.global/mind-map/firms/141347,contact@candowell.com,https://candowell.com/,
Cape York Partnership Organizations,,https://platform.dkv.global/mind-map/firms/106257,info@cyp.org.au,https://capeyorkpartnership.org.au/,https://twitter.com/capeyorkpart
Cardinal Hume Centre Company,"Cardinal Hume Centre provides help and support with income, housing, employment support, education, and asylum issues for people.",https://platform.dkv.global/mind-map/firms/150267,info@cardinalhumecentre.org.uk,https://www.cardinalhumecentre.org.uk/,
CARE Deutschland Organizations,"CARE Deutschland is a professional service firm that helps to provide emergency aid, starting new businesses and children's education.",https://platform.dkv.global/mind-map/firms/173524,,https://care.de/,
Care for Children Company,Care for Children helps create a positive alternative to institutional care through local family-based care for disadvantaged children.,https://platform.dkv.global/mind-map/firms/150303,info@careforchildren.com,https://www.careforchildren.com/,
CARE India Solutions for Sustainable Development Organizations,"CARE India is a not-for-profit organization working in India for over 65 years, focusing on alleviating poverty and social injustice.",https://platform.dkv.global/mind-map/firms/102615,contactus@careindia.org,https://www.careindia.org/,https://twitter.com/CAREIndia
Care Network Company,"Care Network is a non-profit organization that assists vulnerable people to stay healthy, independent, and in touch with their community.",https://platform.dkv.global/mind-map/firms/105527,admin@care-network.org.uk,https://care-network.org.uk/,
Caring Cases Companies,,https://platform.dkv.global/mind-map/firms/170624,support@caring-cases.com,https://www.caring-cases.com/,
Caritas Diocese of Salford Company,"Caritas Diocese of Salford provides education, adoption support, anti-trafficking, refugee response, and community sponsorship services.",https://platform.dkv.global/mind-map/firms/150375,info@caritassalford.org.uk,https://www.caritassalford.org.uk/,
Cashpor Micro Credit Organizations,Cashpor is a poverty focused company that provides microfinance exclusively to below poverty line women in eastern U.P. and Bihar.,https://platform.dkv.global/mind-map/firms/106267,,http://www.cashpor.in/,
CASL Company,"CASL is a non-profit organization that provides social services such as english language classes, job training & child care for immigrants.",https://platform.dkv.global/mind-map/firms/166368,media@caslservice.org,https://www.caslservice.org/,
Catalonia Research and Innovation Foundation Organizations,,https://platform.dkv.global/mind-map/firms/174495,,http://www.fundaciorecerca.cat/,https://www.twitter.com/fundaciorecerca
Catholic Charities Atlanta Company,Catholic Charities Atlanta is a charitable organization that offers professional therapeutic and social services to people facing adversity.,https://platform.dkv.global/mind-map/firms/106272,pr@catholiccharitiesatlanta.org,https://catholiccharitiesatlanta.org/,
Catholic Charities Fort Worth Company,,https://platform.dkv.global/mind-map/firms/163741,infocatholiccharities@ccdofw.org,https://catholiccharitiesfortworth.org/,
Catholic Charities of the Archdiocese of Oklahoma City Company,Catholic Charities of the Archdiocese of Oklahoma City is a nonprofit social service agency that provides counseling and legal services.,https://platform.dkv.global/mind-map/firms/168246,pr@ccaokc.org,https://www.catholiccharitiesok.org/,
Catholic Charities San Francisco Company,"Catholic Charities San Francisco is a charity organization that offers housing, immigration, children, youth, and elderly support services.",https://platform.dkv.global/mind-map/firms/166801,moreinfo@CatholicCharitiesSF.org,https://www.catholiccharitiessf.org/,
Catholic Development Fund Organizations,"Catholic Development Fund is a non-profit firm that helps Catholic organizations by offering loans, investments, and transactional services.",https://platform.dkv.global/mind-map/firms/142899,csg@melbcdf.org.au,http://www.catholicdevelopmentfund.org.au/,
Catholic Legal Immigration Network Company,,https://platform.dkv.global/mind-map/firms/166976,national@cliniclegal.org,https://cliniclegal.org/,
Caudwell Children Company,,https://platform.dkv.global/mind-map/firms/140219,charity@caudwellchildren.com,https://www.caudwellchildren.com/,
CDFI Organizations,"CDFI is a non-profit organization that specializes in research, analysis, and innovation in the area of digital financial inclusion.",https://platform.dkv.global/mind-map/firms/151449,info@cdfi.in,https://www.cdfi.in/,https://twitter.com/IndiaCDFI
CECI Organizations,"CECI has been fighting poverty and exclusion through sustainable development projects in Africa, Asia, and the Americas since 1958.",https://platform.dkv.global/mind-map/firms/151466,info@ceci.ca,https://www.ceci.ca/,https://www.twitter.com/CECI_Canada
Center for Children & Youth Justice Company,Center for Children & Youth Justice is a non-profit organization that develops innovative approaches and programs for systemic change.,https://platform.dkv.global/mind-map/firms/170988,supportccyj@ccyj.org,https://ccyj.org/,
Central American Health Informatics Network Company,RECAINSA is a network of digital health professionals & IT technicians to promote & strengthen digital health development & governance.,https://platform.dkv.global/mind-map/firms/173592,,https://recainsa.org/,
Central Queensland Indigenous Development Organizations,"Central Queensland Indigenous Development offers services like drug treatment, family well being, foster and kinship care and much more.",https://platform.dkv.global/mind-map/firms/172586,,https://cqid.com.au/,
Central Vancouver Island Multicultural Society Organizations,"Central Vancouver Island Multicultural Society is a non-profit organization that specializes in settlement, employment, and family services.",https://platform.dkv.global/mind-map/firms/137605,admin@cvims.org,https://www.cvims.org/,https://twitter.com/cvimsnanaimo
Centre for European Volunteering Organizations,"CEV is dedicated to the promotion of, and support for, volunteers and volunteering in Europe at the European, national or regional level.",https://platform.dkv.global/mind-map/firms/140644,communication@cev.be,https://www.europeanvolunteercentre.org/,https://twitter.com/VolunteeringCEV
Centre for Global Equality Company,,https://platform.dkv.global/mind-map/firms/99763,info@centreforglobalequality.org,https://centreforglobalequality.org/,
Centre for Human Rights and Democracy Company,,https://platform.dkv.global/mind-map/firms/140298,chrda@chrda.org,https://chrda.org/,
Centre for Inclusive Design Organizations,,https://platform.dkv.global/mind-map/firms/151581,info@cfid.org.au,https://centreforinclusivedesign.org.au/,https://twitter.com/CFIDAus
Centre for Multicultural Youth Organizations,,https://platform.dkv.global/mind-map/firms/152087,info@cmy.net.au,http://www.cmy.net.au/,https://www.twitter.com/talktocmy
Centre for Newcomers Organizations,,https://platform.dkv.global/mind-map/firms/151543,info@centrefornewcomers.ca,https://www.centrefornewcomers.ca/,https://twitter.com/YYCNewcomers
Certified B Corporation Company,,https://platform.dkv.global/mind-map/firms/171377,thelab@bcorporation.net,http://www.bcorporation.net/,
Change With One Company,,https://platform.dkv.global/mind-map/firms/140213,changewithone@gmail.com,https://ncore.foundation/portfolio/change-with-one-foundation,
Charitable Companies,"Charitable is a powerful, extendable fundraising plugin created to help non-profits accept donations on their own website.",https://platform.dkv.global/mind-map/firms/172581,,http://www.wpcharitable.com/,https://twitter.com/wpcharitable
Cherie Blair Foundation for Women Company,,https://platform.dkv.global/mind-map/firms/105598,enquiries@cherieblairfoundation.org,http://www.cherieblairfoundation.org/,
